TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,State
550,1/6/24,1008,102,404,0,39.1,0,CA
550,1/6/24,1008,102,404,0,39.1,0,CA
551,1/6/24,1009,105,403,0,19.78,120,MI
552,1/16/24,1004,107,404,0,335.1,5,Florida
553,1/16/24,1006,102,406,0,195.5,15,CA
554,1/25/24,1005,102,405,0,117.3,10,NY
555,1/25/24,1001,101,401,0,2379.36,5,NH
556,1/29/24,1009,104,403,0,172.4,0,IL
557,1/29/24,1010,101,402,0,3172.48,5,WY
558,2/6/24,1002,102,402,0,312.8,5,IL
559,2/6/24,1001,106,401,0,622.86,20,CA
560,2/6/24,1010,101,402,0,6344.96,15,OR
561,2/6/24,1005,107,405,0,469.14,5,GA
562,2/8/24,1003,108,403,0,12.56,0,TN
563,2/8/24,1006,107,406,0,67.02,10,TX
564,2/9/24,1009,107,403,0,469.14,5,AL
565,2/9/24,1002,105,402,0,138.46,5,MA
566,2/24/24,1007,103,405,0,204.84,10,WI
567,2/24/24,1007,106,405,0,444.9,5,CA
568,2/24/24,1011,107,401,0,603.18,15,NY
569,2/24/24,1010,101,402,0,3965.6,0,FL
570,2/27/24,1010,107,402,0,402.12,20,TX
571,2/27/24,1011,106,401,0,533.88,5,AK
572,3/20/24,1005,105,405,0,178.02,5,AR
573,3/20/24,1001,101,401,0,7138.08,5,KY
574,3/25/24,1006,101,406,0,4758.72,5,OH
575,3/25/24,1001,108,401,0,75.36,15,ND
576,4/7/24,1001,108,401,0,113.04,0,AZ
577,4/7/24,1005,104,405,0,387.9,10,CA
578,4/10/24,1006,106,406,0,800.82,10,NM
579,4/10/24,1008,106,404,0,800.82,0,TX
580,4/11/24,1004,103,404,0,22.76,5,FL
581,4/11/24,1009,101,403,0,793.12,5,MO
582,4/19/24,1001,101,401,0,6344.96,15,IA
583,4/19/24,1009,102,403,0,312.8,0,SD
584,4/27/24,1007,101,405,0,7138.08,5,MN
585,4/27/24,1002,108,402,0,113.04,15,MI
586,4/30/24,1001,105,401,0,39.56,5,TX
587,4/30/24,1007,102,405,0,78.2,5,NH
588,5/2/24,1002,102,402,0,117.3,20,ME
589,5/2/24,1007,102,405,0,117.3,0,NC
590,5/8/24,1005,107,405,1,603.18,5,VT
591,5/8/24,1004,101,404,1,7138.08,5,MA
592,5/17/24,1006,107,406,1,670.2,10,NY
593,5/17/24,1008,104,404,1,431,10,TX
594,5/19/24,1003,101,403,1,1586.24,5,FL
595,5/19/24,1006,108,406,1,25.12,15,CA
596,5/29/24,1011,105,401,0,98.9,5,KS
597,5/29/24,1008,102,404,0,195.5,0,NE
598,6/6/24,1001,104,401,0,387.9,5,CO
599,6/6/24,1004,102,404,0,351.9,0,CO
600,6/12/24,1010,103,402,0,182.08,5,UT
601,6/12/24,1005,106,405,0,711.84,5,ID
602,6/17/24,1007,101,405,0,2379.36,20,WA
603,6/17/24,1006,101,406,0,2379.36,10,OR
604,6/20/24,1009,102,403,0,39.1,10,MA
605,6/20/24,1002,108,402,0,12.56,5,NY
606,7/2/24,1005,105,405,0,79.12,15,FL
607,7/2/24,1011,108,401,0,50.24,5,TX
608,7/4/24,1003,102,403,0,39.1,5,MO
609,7/4/24,1004,101,404,0,3965.6,20,IL
610,7/4/24,1010,106,402,0,88.98,0,MS
611,7/4/24,1006,102,406,0,195.5,5,TX
612,7/7/24,1003,104,403,2,258.6,0,CA
613,7/7/24,1003,104,403,2,258.6,0,NV
614,7/15/24,1011,101,401,2,7138.08,10,CO
615,7/15/24,1010,104,402,2,387.9,10,IL
616,7/17/24,1001,107,401,2,134.04,5,TX
617,7/17/24,1003,107,403,2,134.04,20,OH
618,7/21/24,1001,104,401,2,172.4,15,PA
619,7/21/24,1008,105,404,2,79.12,5,VA
620,7/25/24,1007,108,405,0,125.6,0,CA
621,7/25/24,1010,101,402,0,7931.2,5,FL
622,8/1/24,1003,108,403,0,100.48,5,MI
623,8/1/24,1002,107,402,0,536.16,10,WI
624,8/2/24,1011,108,401,0,125.6,5,WA
625,8/2/24,1002,108,402,0,125.6,5,NV
626,8/5/24,1003,108,403,0,37.68,5,AL
627,8/5/24,1006,104,406,0,129.3,20,GA
628,8/14/24,1011,107,401,0,201.06,15,FL
629,8/14/24,1006,101,406,0,2379.36,10,TX
630,8/21/24,1007,104,405,0,172.4,15,IL
631,8/21/24,1002,107,402,0,268.08,5,OH
632,8/25/24,1006,108,406,0,75.36,5,PA
633,8/25/24,1002,104,402,0,258.6,0,MA
634,8/28/24,1006,105,406,0,39.56,20,CT
635,8/28/24,1005,106,405,0,177.96,5,RI
636,9/5/24,1005,107,405,3,1072.32,10,VA
637,9/5/24,1007,107,405,3,1072.32,5,IL
638,9/22/24,1001,101,401,3,6344.96,20,FL
639,9/22/24,1007,104,405,3,689.6,5,CO
640,9/30/24,1005,107,405,3,268.08,15,OR
641,9/30/24,1010,103,402,3,45.52,5,UT
642,10/10/24,1002,101,402,0,5551.84,5,AR
643,10/10/24,1010,104,402,0,301.7,0,KS
